event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
DJI52,2013-01-17,2013,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),MRD: Movement for Democratic Renewal,Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,CIVICUS,Other,"The poet Farah Moussa Bouh, an MRD sympathiser, was arrested on 17 January 2013 at Balbala. He was beaten during the arrest along with his wife, Hawa Omar Abdillahi. Mr Bouh alleges he was subsequently tortured by police while in detention",0,NA,1552577498
DJI10,1999-09-23,1999,1,Demonstrations,Riots,Violent demonstration,Police Forces of Djibouti (1999-),,State forces,Rioters (Djibouti),Political Opposition,Rioters,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Reuters,International,Supporters of losing presidential candidate stage riot and clash with police; police kill one during clash,1,NA,1552577668
DJI9,1999-09-23,1999,1,Demonstrations,Riots,Violent demonstration,Rioters (Djibouti),,Rioters,Police Forces of Djibouti (1999-),,State forces,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Reuters,International,Supporters of losing presidential candidate stage riot and clash with police,0,NA,1552577668
DJI6,1999-04-13,1999,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Djibouti),,Political militia,Civilians (Djibouti),,Civilians,Political militia-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,2,Reuters,International,Landmine explosion kills woman and her driver in Tadjourah,2,NA,1552577670
DJI4,1999-03-28,1999,1,Demonstrations,Protests,Peaceful protest,Protesters (Djibouti),,Protesters,,,,Protesters only,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Reuters,International,Peaceful protest against election irregularities,0,NA,1552577670
DJI12,2001-04-09,2001,1,Demonstrations,Riots,Violent demonstration,Police Forces of Djibouti (1999-),,State forces,Rioters (Djibouti),PND: National Democratic Party,Rioters,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,AFP,International,"Police used teargas to disperse a crowd of over 100 opposition supporters outside a court where Aden Robleh Awalleh, leader of the opposition National Democratic Party (PND), and three others stood trial for the 1990 Cafe Paris bombing. Demonstrators responded by throwing stones at police.",0,NA,1561469028
DJI14,2002-04-16,2002,1,Political violence,Battles,Armed clash,Police Forces of Djibouti (1999-),,State forces,Mutiny of Military Forces of Djibouti (1999-),,State forces,State forces-State forces,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,AFP,International,Clashes erupt as demobilised police and soldiers were protesting delays in payment of their pensions.,2,NA,1561469028
DJI19,2005-01-10,2005,1,Demonstrations,Riots,Violent demonstration,Police Forces of Djibouti (1999-),,State forces,Rioters (Djibouti),,Rioters,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,AFP,International,Police clash with protesting residents whose homes were marked for demolition,0,NA,1561469028
DJI44,2011-02-18,2011,2,Political violence; Demonstrations,Protests,Excessive force against protesters,Police Forces of Djibouti (1999-),,State forces,Protesters (Djibouti),,Protesters,State forces-Protesters,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,AFP,International,"5,000+ youth and opposition protesters, calling for an end to the regime of President Guelleh, clash with police. One death reported, arrests made. The event lasted two days.",1,NA,1561469028
DJI53,2013-02-25,2013,1,Demonstrations,Riots,Violent demonstration,Rioters (Djibouti),,Rioters,Police Forces of Djibouti (1999-),,State forces,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,AFP,International,"As demonstrators gathered on Monday afternoon, police charged the crowd using batons and tear gas with people scattering into neighbourhoods of Djibouti city, Farah said, adding that some 300 people had been arrested on Monday. Monitoring groups estimate that 6 people died in the clashes on 25th and 26th.",3,NA,1561469028
DJI56,2013-02-26,2013,1,Demonstrations,Riots,Violent demonstration,Rioters (Djibouti),USN: Union for National Salvation,Rioters,Police Forces of Djibouti (1999-),,State forces,State forces-Rioters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,AFP,International,Opposition protestors alleging fraud in parliamentary elections said they clashed with police for a second day Tuesday in the strategic Horn of Africa nation of Djibouti.,0,NA,1561469028
DJI84,2014-08-08,2014,1,Demonstrations,Protests,Protest with intervention,Protesters (Djibouti),USN: Union for National Salvation,Protesters,Police Forces of Djibouti (1999-),,State forces,State forces-Protesters,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Reporters Sans Frontieres,Other,"A protest is organised in the district of Balbala Hayabley by members of the USN, a coalition of opposition parties. The police conducted some arrests at the protest.",0,NA,1561469028
